file_name,image_base64
acacia_door_bottom,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAJFBMVEUAAADLd0/Fckq6XTuyWzuuXTRvb2+WWDeCSSpWVlZsOx81NTUHlzqwAAAAAXRSTlMAQObYZgAAAGVJREFUeNpjSF3VDoIzGIwXMAEhawWUwRzBoNzABIIRDMIFTCBoxSDawNjAWMAIZBRAGcJIDBC0YFAGUQ1AxlYII5whFaQLxDCFqIlgMHYSBMEIBmXj0GDj0NAIhvZVqzo6OsorAHL0JGJn2sPuAAAAAElFTkSuQmCC
acacia_door_top,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAKlBMVEUAAADLd0/Fckq6XTtycnKyWzuuXTRvb2+eXz+WWDeCSSpRUVFsOx81NTVL1GstAAAAAXRSTlMAQObYZgAAAG1JREFUeNpjEFISFBRUUtJiUE1LNks2S8tgED2zEgSBjANMIJjFcHUB0wIwo3QB0wQg04rBdAITEIIZjAsYJzBaMYguYARCEGMCmJHDIDyBEQiBDGUIw4ZBeAGYYQVhLACKqE2AilwLEgTC214AY7wnRdehTW0AAAAASUVORK5CYII=
acacia_leaves,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAElBMVEUAAAC1tbWenp6Ih4eHh4dtampdHhTJAAAAAXRSTlMAQObYZgAAAG5JREFUeNoNyTEOgzAMQNEfm+wmqLvTiN1B6s4RrFTc/yrtWx+xQ5b6Ji/70H1QkcEWSSz571PwaWVU7aB+kVtDnH6qgYSVQ+xgSJMoNE690WkKD/u3RSKR1ysr9LtSJSfSY7FHh+nTRhqOqaPrB6D3DVPNUQnEAAAAAElFTkSuQmCC
acacia_log,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAElBMVEWNhHd7c2hpYllbVU1YU0lQS0AMZkf2AAAAaklEQVR42g3EwQ3CQBAEwd7hjw8n4EPgPyFA/kFgSIA9+O9glVS6zuu8nh8XMXYEihv4AMp0d5AywVZvq5ZPMEAdH6cC0ewWRt9qBIkqCcJ38YofDSTgGZna9oKequ6pmVRzGycWBN0U8Qdg1S10ywWxbwAAAABJRU5ErkJggg==
acacia_log_top,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAIVBMVEXCbT+6YzetXTKgVjBpYlmZUCuPTCpXUklQTERLRz5FQTqueVyoAAAAjUlEQVR42mNwb6/onFHpXsLgKCgkxKQoKM7QmBZqamwcysFQmMAoKCQoKsmwKFAJCIQ1GCYaqgabBomqM0wKUlNSClIVZ2gyVFU2MhJWYXACMoKCRMEMJSUjVXWGokDVsGAjYQ2gGiUgEAVpFxIUFBDVZJhoahoKBJIMCwWVhBSUBMUZSma0l7hUdE4BAGB2Hi6vQjsgAAAAAElFTkSuQmCC
acacia_planks,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAFVBMVEXCbT+6YzetXTKgVjCZUCuPTCqIRyhX8/nHAAAAcElEQVR42g3CARVCIQwF0DctwMYvsM0AfkYDpQHQgPWPoPdcSAH+L7B9lI0DyurR9MKYI9fJjfLGE2Q3VFpvyoJQe7F4INfIXHOjkIGACmH2cO8gizCLipwjz9gJKlTxIMA4/GYxeJPOHoGzz3eczB9ikBUCOPdNbQAAAABJRU5ErkJggg==
acacia_sapling,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAFVBMVEUAAAB+mCF0jByObx9nfhd8XhJoTgijLTVsAAAAAXRSTlMAQObYZgAAAGVJREFUeNo1iUkOgCAQBDuoD3A9i/IDjGeMy9kNzsYE/v8EM0OsS1eqQbRgjCh401zsFckk67s0VHR/XJzms9EgarmedAlZ+XyhorQdQCR2NCyZdB2tUO8Wi7rDDuZyzy+I+ADgA1BsDQGoWxSFAAAAAElFTkSuQmCC
acacia_trapdoor,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQCAYAAAAf8/9hAAAAc0lEQVQ4y2PocNf4TwlmABEzA7TBeG2sERjvyrDGi2Hq4Ab0+2jBMUwBsjguMRQXMEDBiSJnhOl4xEYNIMIAUEjjExs1AM0A5DwAUoyc3vGJobgAWWFgYOD/oqIiFAwSQ1YD0gM3AB2bmpqCNSBjkBg2tQBOBaVKFx7JigAAAABJRU5ErkJggg==
activator_rail,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAJ1BMVEUAAACrrKucnJy1kFmkgEpyeW6HbUVoaGhcTTBSQyhiAgJKAwMxAACGDk0sAAAAAXRSTlMAQObYZgAAAHlJREFUeNo9zrENwjAURdFbIQFprUxgeQBLLEBEH0/ACvYUv6SkdP1pqJEL+ngoviyR7hVHVw8CQIFD0HjTdOc4byItP8AxVTLgOVdWM/61XHU1E5o8ezIzc/qSGOM9Ok4vUYsZ10W2MsxUhwl7R5f4yWZ8E+lm/jd+Y8QiGhT44e8AAAAASUVORK5CYII=
activator_rail_on,iVBORw0KGgoAAAANSUhEUgAAABAAAAAQBAMAAADt3eJSAAAAJ1BMVEUAAACrrKucnJy1kFmkgEpyeW6HbUVoaGhcTTBSQyjUAQKrAwGIAwClTGUoAAAAAXRSTlMAQObYZgAAAHpJREFUeNo9zrENwjAURdFbIQFprUxgeQBLLEBEH0/ACvYUv6SkdP3TUCMX9PFQfFmC7hVHVw8CQIFD0HjTdOc47yItP8AxVTLgOVdWM35brttqJjR59mRm5vQhMcZrdJxeohYzrovsZZipDhP+HV3iO5vxTaSb+d34AmQhIhsJ39AbAAAAAElFTkSuQmCC
